donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
5IDB0,IDB Group,MDB,BLZ,Belize,Industry Mining & Construction,0.0,6,0.2608695652173913,0.016495971789305938,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
AUS,Australia,Bilateral (DAC),BLZ,Belize,Industry Mining & Construction,0.0,2,0.08695652173913043,0.009499310486014413,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
ESP,Spain,Bilateral (DAC),BLZ,Belize,Industry Mining & Construction,0.0,1,0.043478260869565216,0.0018357207629528304,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
FIN,Finland,Bilateral (DAC),BLZ,Belize,Industry Mining & Construction,0.0,1,0.043478260869565216,0.0037809446040554173,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
USA,United States,Bilateral (DAC),BLZ,Belize,Other Multisector,1.376083176293893,9,0.391304347826087,0.17109754776829236,100.0,True,False,True,2,High,Fragmented coordination space
CAN,Canada,Bilateral (DAC),BLZ,Belize,Other Multisector,0.5860659395344795,16,0.6956521739130435,0.19494751534277896,91.66666666666666,True,True,True,3,High,Fragmented coordination space
9OTH001,Adaptation Fund,Vertical Fund,BLZ,Belize,Other Multisector,0.361,1,0.043478260869565216,0.1773009878268056,83.33333333333334,True,False,True,2,High,Fragmented coordination space
1UN019,UNICEF,UN Agency,BLZ,Belize,Other Multisector,0.0552644689497628,16,0.6956521739130435,0.3773073104029407,50.0,False,True,True,2,High,Fragmented coordination space
5IDB0,IDB Group,MDB,BLZ,Belize,Other Multisector,0.11929200000000001,7,0.30434782608695654,0.05518252074731354,66.66666666666666,False,False,False,0,Low,Fragmented coordination space
1UN014,UNDP,UN Agency,BLZ,Belize,Other Multisector,0.023072516584917033,2,0.08695652173913043,0.07244409748370216,33.33333333333333,False,False,False,0,Low,Fragmented coordination space
GBR,United Kingdom,Bilateral (DAC),BLZ,Belize,Other Multisector,0.012089583177376467,5,0.21739130434782608,0.0679265785579778,25.0,False,False,False,0,Low,Fragmented coordination space
1UN026,WHO,UN Agency,BLZ,Belize,Other Multisector,0.0019271924552185665,3,0.13043478260869565,0.0027626469117459818,16.666666666666664,False,False,False,0,Low,Fragmented coordination space
TWN,Chinese Taipei,Bilateral (Non-DAC),BLZ,Belize,Other Multisector,0.25779227759099715,2,0.08695652173913043,0.09399885880131596,75.0,True,False,False,1,Medium,Fragmented coordination space
1UN003,FAO,UN Agency,BLZ,Belize,Other Multisector,0.08092497107418577,7,0.30434782608695654,0.28008194877677334,58.333333333333336,False,False,True,1,Medium,Fragmented coordination space
JPN,Japan,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0242801083862542,15,0.6521739130434783,0.09607148518793504,41.66666666666667,False,True,False,1,Medium,Fragmented coordination space
THA,Thailand,Bilateral (Non-DAC),BLZ,Belize,Other Multisector,0.0006806666666666667,1,0.043478260869565216,1.0,8.333333333333332,False,False,True,1,Medium,Fragmented coordination space
9OTH020,CGIAR,Vertical Fund,BLZ,Belize,Other Multisector,0.0,9,0.391304347826087,0.28403683064092095,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
